Temperature,Velocity,Server_1_Power,Server_2_Power,Server_3_Power,Server_4_Power,Server_5_Power,Server_6_Power,Server_7_Power,Server_8_Power,Server_9_Power,Server_10_Power,Server_11_Power,Server_12_Power,images
295,2.22,50,0,75,75,50,75,50,50,50,50,0,50,dp130
299,1.75,100,75,100,0,100,75,100,0,50,100,0,0,dp131
290,2.22,75,75,100,50,0,100,0,0,50,50,100,50,dp132
290,2.65,50,100,50,75,0,0,0,0,100,0,0,0,dp133
295,2.22,0,75,0,75,100,50,0,50,50,100,50,75,dp134
299,2.22,50,50,50,0,0,75,75,0,75,0,100,50,dp135
299,1.75,50,75,0,0,75,0,100,50,75,75,0,75,dp136
295,1.75,100,0,0,0,0,100,0,75,100,50,50,75,dp137
299,1.75,75,100,50,50,50,50,50,0,75,0,50,100,dp138
299,2.22,100,50,50,100,0,0,50,0,100,0,50,100,dp139
290,2.65,0,75,100,100,75,75,100,75,50,50,50,100,dp140
299,1.75,75,75,0,0,75,75,75,100,75,0,100,75,dp141
299,1.75,0,100,75,75,75,100,0,0,50,75,50,50,dp142
295,2.22,0,100,100,0,100,50,75,0,75,100,75,100,dp143
295,1.75,100,50,100,50,50,50,0,0,100,50,0,50,dp144
290,2.65,75,75,75,100,50,75,0,75,75,75,100,0,dp145
299,2.65,50,0,50,100,100,100,100,50,75,50,0,100,dp146
299,1.75,100,0,50,75,75,0,75,50,50,0,50,100,dp147
299,1.75,0,50,0,75,50,100,50,0,0,50,100,100,dp148
290,2.22,100,0,50,75,0,100,50,100,75,100,100,75,dp149
290,2.65,50,0,50,75,100,50,0,75,50,0,75,0,dp150
295,2.65,75,100,50,0,75,0,0,50,100,0,75,75,dp151
290,1.75,100,75,100,75,50,0,50,0,0,0,50,0,dp152
299,2.22,50,100,75,75,0,50,75,50,50,0,75,0,dp153
299,2.65,0,75,75,100,100,50,75,100,50,50,50,100,dp154
290,2.65,75,0,50,100,100,0,0,100,75,0,100,0,dp155
299,2.22,75,50,0,75,100,0,0,100,50,100,0,100,dp156
299,2.22,75,100,0,100,50,100,50,75,50,100,0,50,dp157
290,2.65,75,50,50,50,75,100,50,50,0,75,50,75,dp158
290,2.65,50,100,100,50,100,50,100,0,0,0,75,75,dp159
299,2.22,0,75,100,50,50,50,0,75,100,100,0,100,dp160
299,2.65,100,100,100,75,100,50,0,75,100,75,100,50,dp161
299,1.75,0,100,100,100,100,0,0,50,0,100,50,50,dp162
295,1.75,50,100,75,100,0,0,100,100,50,100,50,0,dp163
295,2.22,50,100,0,75,50,0,50,0,0,50,75,0,dp164
295,2.22,0,0,75,75,100,50,75,50,100,50,75,50,dp165
290,2.22,75,50,75,75,50,100,0,100,50,100,75,0,dp166
295,1.75,50,50,50,0,75,50,100,50,50,50,50,75,dp167
290,2.65,100,75,100,50,0,75,0,75,50,75,50,75,dp168
290,1.75,50,50,100,50,100,50,0,50,0,0,50,0,dp169
295,2.65,100,75,50,0,50,100,50,50,0,100,75,75,dp170
295,1.75,0,50,0,0,0,50,100,0,50,100,0,75,dp171
295,2.65,100,0,100,100,100,100,100,100,0,75,50,100,dp172
299,1.75,50,0,100,75,50,100,0,75,50,50,100,75,dp173
295,2.22,75,75,75,0,75,50,50,0,50,50,75,50,dp174
299,1.75,0,75,100,75,0,75,75,0,75,0,0,100,dp175
290,2.65,50,50,75,75,100,100,100,0,100,100,75,100,dp176
299,1.75,0,0,75,100,100,0,100,100,100,50,75,50,dp177
295,1.75,75,0,100,75,50,100,0,75,75,75,100,50,dp178
290,1.75,50,75,0,0,50,0,50,75,50,50,75,0,dp179
